Location,Household Type,TimeFrame,DataFormat,Data
Manhattan,Families,2007,Dollars,89133.48112
Manhattan,All Households,2007,Dollars,82712.70711
Manhattan,Families without Children,2006,Dollars,95705.06155
Manhattan,Families,2006,Dollars,93858.79792
Manhattan,Families with Children,2006,Dollars,90596.71233
Manhattan,All Households,2006,Dollars,79488.66856
Manhattan,Families without Children,2005,Dollars,99058.69697
Manhattan,Families with Children,2005,Dollars,77867.76016
Manhattan,Families,2005,Dollars,89984.52345
Manhattan,All Households,2005,Dollars,76920.90183
Battery Park/Tribeca,All Households,2005,Dollars,127748.9167
Battery Park/Tribeca,Families,2005,Dollars,184225.0995
Battery Park/Tribeca,Families without Children,2005,Dollars,171895.3275
Battery Park/Tribeca,Families with Children,2005,Dollars,240493.7706
Battery Park/Tribeca,All Households,2006,Dollars,125650.5569
Battery Park/Tribeca,Families,2006,Dollars,186613.0163
Battery Park/Tribeca,Families with Children,2006,Dollars,207842.3991
Battery Park/Tribeca,Families without Children,2006,Dollars,174759.3151
Battery Park/Tribeca,All Households,2007,Dollars,135204.6277
Battery Park/Tribeca,Families with Children,2007,Dollars,167170.6798
Battery Park/Tribeca,Families,2007,Dollars,181608.0832
Battery Park/Tribeca,Families without Children,2007,Dollars,201005.6472
Battery Park/Tribeca,All Households,2008,Dollars,131052.9843
Battery Park/Tribeca,Families,2008,Dollars,218492.7176
Battery Park/Tribeca,Families with Children,2008,Dollars,238083.9684
Battery Park/Tribeca,Families without Children,2008,Dollars,212378.4324
Battery Park/Tribeca,Families,2009,Dollars,191669.0602
Battery Park/Tribeca,All Households,2009,Dollars,125639.994
Battery Park/Tribeca,Families with Children,2009,Dollars,192597.2217
Battery Park/Tribeca,Families without Children,2009,Dollars,189892.9638
Battery Park/Tribeca,All Households,2010,Dollars,123927.5693
Battery Park/Tribeca,Families,2010,Dollars,196197.5153
Battery Park/Tribeca,Families with Children,2010,Dollars,276547.346
Battery Park/Tribeca,All Households,2011,Dollars,141439.8284
Battery Park/Tribeca,Families without Children,2010,Dollars,165137.6517
Battery Park/Tribeca,Families,2011,Dollars,221966.5803
Battery Park/Tribeca,Families with Children,2011,Dollars,248555.1346
Battery Park/Tribeca,Families without Children,2011,Dollars,198267.804
Battery Park/Tribeca,All Households,2012,Dollars,119049.1188
Battery Park/Tribeca,Families,2012,Dollars,178616.4958
Battery Park/Tribeca,Families without Children,2012,Dollars,168096.0967
Battery Park/Tribeca,Families with Children,2012,Dollars,236487.3702
Battery Park/Tribeca,All Households,2013,Dollars,142617.114
Battery Park/Tribeca,Families,2013,Dollars,205662.4574
Battery Park/Tribeca,Families with Children,2013,Dollars,228565.6886
Battery Park/Tribeca,Families without Children,2013,Dollars,191437.2792
Battery Park/Tribeca,All Households,2014,Dollars,135003.257
Battery Park/Tribeca,Families with Children,2014,Dollars,236137.197
Battery Park/Tribeca,Families,2014,Dollars,187710.5773
Battery Park/Tribeca,Families without Children,2014,Dollars,178205.6471
Battery Park/Tribeca,All Households,2015,Dollars,137034.3496
Battery Park/Tribeca,Families,2015,Dollars,224790.9891
Battery Park/Tribeca,Families with Children,2015,Dollars,280458.6695
Battery Park/Tribeca,Families without Children,2015,Dollars,175673.7014
Battery Park/Tribeca,Families,2016,Dollars,250479.4701
Battery Park/Tribeca,All Households,2016,Dollars,152286.3502
Battery Park/Tribeca,Families with Children,2016,Dollars,251632.6333
Battery Park/Tribeca,Families without Children,2016,Dollars,245837.9606
Battery Park/Tribeca,Families,2017,Dollars,203926.3005
Battery Park/Tribeca,All Households,2017,Dollars,157709.9435
Battery Park/Tribeca,All Households,2018,Dollars,158255.7952
Battery Park/Tribeca,Families without Children,2017,Dollars,186811.7922
Battery Park/Tribeca,Families with Children,2017,Dollars,255365.6196
Battery Park/Tribeca,Families without Children,2019,Dollars,214966.1355
Battery Park/Tribeca,Families with Children,2019,Dollars,262708.4824
Battery Park/Tribeca,Families,2019,Dollars,241920.9688
Battery Park/Tribeca,All Households,2019,Dollars,170331.092
Battery Park/Tribeca,Families without Children,2018,Dollars,211469.1888
Battery Park/Tribeca,Families with Children,2018,Dollars,267050.7793
Battery Park/Tribeca,Families,2018,Dollars,267050.7793
Battery Park/Tribeca,All Households,2021,Dollars,57565.11553
Battery Park/Tribeca,Families,2021,Dollars,87681.36764
Battery Park/Tribeca,Families without Children,2021,Dollars,80000.66124
Battery Park/Tribeca,Families with Children,2021,Dollars,100961.3692
Greenwich Village,Families with Children,2021,Dollars,149039.6308
Greenwich Village,Families without Children,2021,Dollars,118097.3388
Greenwich Village,Families,2021,Dollars,129435.6324
Greenwich Village,All Households,2021,Dollars,84977.88447
Greenwich Village,Families,2018,Dollars,267050.7793
Greenwich Village,Families with Children,2018,Dollars,267050.7793
Greenwich Village,Families without Children,2018,Dollars,211469.1888
Greenwich Village,All Households,2019,Dollars,170331.092
Greenwich Village,Families,2019,Dollars,241920.9688
Greenwich Village,Families with Children,2019,Dollars,262708.4824
Greenwich Village,Families without Children,2019,Dollars,214966.1355
Greenwich Village,Families with Children,2017,Dollars,255365.6196
Greenwich Village,Families without Children,2017,Dollars,186811.7922
Greenwich Village,All Households,2018,Dollars,158255.7952
Greenwich Village,All Households,2017,Dollars,157709.9435
Greenwich Village,Families,2017,Dollars,203926.3005
Greenwich Village,Families without Children,2016,Dollars,245837.9606
Greenwich Village,Families with Children,2016,Dollars,251632.6333
Greenwich Village,All Households,2016,Dollars,152286.3502
Greenwich Village,Families,2016,Dollars,250479.4701
Greenwich Village,Families without Children,2015,Dollars,175673.7014
Greenwich Village,Families with Children,2015,Dollars,280458.6695
Greenwich Village,Families,2015,Dollars,224790.9891
Greenwich Village,All Households,2015,Dollars,137034.3496
Greenwich Village,Families without Children,2014,Dollars,178205.6471
Greenwich Village,Families,2014,Dollars,187710.5773
Greenwich Village,Families with Children,2014,Dollars,236137.197
Greenwich Village,All Households,2014,Dollars,135003.257
Greenwich Village,Families without Children,2013,Dollars,191437.2792
Greenwich Village,Families with Children,2013,Dollars,228565.6886
Greenwich Village,Families,2013,Dollars,205662.4574
